行政區別,村里別,候選人1＿候選人名稱,候選人1＿黨籍,候選人1_得票數,候選人2＿候選人名稱,候選人2＿黨籍,候選人2_得票數,候選人3＿候選人名稱,候選人3＿黨籍,候選人3_得票數,候選人4＿候選人名稱,候選人4＿黨籍,候選人4_得票數,候選人5＿候選人名稱,候選人5＿黨籍,候選人5_得票數,候選人6＿候選人名稱,候選人6＿黨籍,候選人6_得票數,候選人7＿候選人名稱,候選人7＿黨籍,候選人7_得票數,候選人8＿候選人名稱,候選人8＿黨籍,候選人8_得票數,候選人9＿候選人名稱,候選人9＿黨籍,候選人9_得票數,候選人10＿候選人名稱,候選人10＿黨籍,候選人10_得票數,候選人11＿候選人名稱,候選人11＿黨籍,候選人11_得票數,候選人12＿候選人名稱,候選人12＿黨籍,候選人12_得票數,候選人13＿候選人名稱,候選人13＿黨籍,候選人13_得票數,候選人14＿候選人名稱,候選人14＿黨籍,候選人14_得票數,候選人15＿候選人名稱,候選人15＿黨籍,候選人15_得票數,候選人16＿候選人名稱,候選人16＿黨籍,候選人16_得票數,候選人17＿候選人名稱,候選人17＿黨籍,候選人17_得票數,候選人18＿候選人名稱,候選人18＿黨籍,候選人18_得票數,候選人19＿候選人名稱,候選人19＿黨籍,候選人19_得票數,候選人20＿候選人名稱,候選人20＿黨籍,候選人20_得票數,候選人21＿候選人名稱,候選人21＿黨籍,候選人21_得票數,候選人22＿候選人名稱,候選人22＿黨籍,候選人22_得票數,候選人23＿候選人名稱,候選人23＿黨籍,候選人23_得票數,有效票數A,無效票數B,投票數C,選舉人數G,投票率H
光復鄉,大進村,傅崐萁,中國國民黨,236,周玉梅,無黨籍及未經政黨推薦,10,張美慧,民主進步黨,120,許願神,無黨籍及未經政黨推薦,22,吳建智咖啡哥,無黨籍及未經政黨推薦,0,忠仁．達祿斯,無黨籍及未經政黨推薦,2,米甘幹．理佛克,無黨籍及未經政黨推薦,0,鄭天財 Sra‧Kacaw,中國國民黨,94,陳國榮,無黨籍及未經政黨推薦,2,陳政宗,無黨籍及未經政黨推薦,2,陳瑩,民主進步黨,16,高美珠,無黨籍及未經政黨推薦,2,黃仁,中國國民黨,4,伍麗華 Saidhai．Tahovecahe,民主進步黨,2,孔文吉,中國國民黨,0,張子孝,無黨籍及未經政黨推薦,0,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,0,林世偉,無黨籍及未經政黨推薦,0,林果,無黨籍及未經政黨推薦,0,盧縣一,中國國民黨,0,胡黃廣文,無黨籍及未經政黨推薦,0,高畹芯,無黨籍及未經政黨推薦,0,高金素梅,無黨籍及未經政黨推薦,6,626,16,642,1122,57.22
光復鄉,大馬村,傅崐萁,中國國民黨,172,周玉梅,無黨籍及未經政黨推薦,6,張美慧,民主進步黨,124,許願神,無黨籍及未經政黨推薦,14,吳建智咖啡哥,無黨籍及未經政黨推薦,8,忠仁．達祿斯,無黨籍及未經政黨推薦,4,米甘幹．理佛克,無黨籍及未經政黨推薦,8,鄭天財 Sra‧Kacaw,中國國民黨,528,陳國榮,無黨籍及未經政黨推薦,0,陳政宗,無黨籍及未經政黨推薦,8,陳瑩,民主進步黨,90,高美珠,無黨籍及未經政黨推薦,10,黃仁,中國國民黨,24,伍麗華 Saidhai．Tahovecahe,民主進步黨,0,孔文吉,中國國民黨,4,張子孝,無黨籍及未經政黨推薦,0,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,0,林世偉,無黨籍及未經政黨推薦,2,林果,無黨籍及未經政黨推薦,0,盧縣一,中國國民黨,6,胡黃廣文,無黨籍及未經政黨推薦,0,高畹芯,無黨籍及未經政黨推薦,0,高金素梅,無黨籍及未經政黨推薦,14,822,40,862,1606,53.67
光復鄉,東富村,傅崐萁,中國國民黨,84,周玉梅,無黨籍及未經政黨推薦,6,張美慧,民主進步黨,38,許願神,無黨籍及未經政黨推薦,4,吳建智咖啡哥,無黨籍及未經政黨推薦,12,忠仁．達祿斯,無黨籍及未經政黨推薦,2,米甘幹．理佛克,無黨籍及未經政黨推薦,0,鄭天財 Sra‧Kacaw,中國國民黨,606,陳國榮,無黨籍及未經政黨推薦,2,陳政宗,無黨籍及未經政黨推薦,86,陳瑩,民主進步黨,170,高美珠,無黨籍及未經政黨推薦,18,黃仁,中國國民黨,64,伍麗華 Saidhai．Tahovecahe,民主進步黨,2,孔文吉,中國國民黨,2,張子孝,無黨籍及未經政黨推薦,0,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,2,林世偉,無黨籍及未經政黨推薦,0,林果,無黨籍及未經政黨推薦,0,盧縣一,中國國民黨,0,胡黃廣文,無黨籍及未經政黨推薦,2,高畹芯,無黨籍及未經政黨推薦,0,高金素梅,無黨籍及未經政黨推薦,8,1122,22,1144,1888,60.59
光復鄉,西富村,傅崐萁,中國國民黨,178,周玉梅,無黨籍及未經政黨推薦,0,張美慧,民主進步黨,112,許願神,無黨籍及未經政黨推薦,16,吳建智咖啡哥,無黨籍及未經政黨推薦,0,忠仁．達祿斯,無黨籍及未經政黨推薦,10,米甘幹．理佛克,無黨籍及未經政黨推薦,0,鄭天財 Sra‧Kacaw,中國國民黨,496,陳國榮,無黨籍及未經政黨推薦,8,陳政宗,無黨籍及未經政黨推薦,26,陳瑩,民主進步黨,102,高美珠,無黨籍及未經政黨推薦,8,黃仁,中國國民黨,44,伍麗華 Saidhai．Tahovecahe,民主進步黨,0,孔文吉,中國國民黨,0,張子孝,無黨籍及未經政黨推薦,0,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,2,林世偉,無黨籍及未經政黨推薦,2,林果,無黨籍及未經政黨推薦,0,盧縣一,中國國民黨,0,胡黃廣文,無黨籍及未經政黨推薦,0,高畹芯,無黨籍及未經政黨推薦,0,高金素梅,無黨籍及未經政黨推薦,4,794,18,812,1366,59.44
卓溪鄉,卓清村,傅崐萁,中國國民黨,34,周玉梅,無黨籍及未經政黨推薦,0,張美慧,民主進步黨,12,許願神,無黨籍及未經政黨推薦,2,吳建智咖啡哥,無黨籍及未經政黨推薦,0,忠仁．達祿斯,無黨籍及未經政黨推薦,0,米甘幹．理佛克,無黨籍及未經政黨推薦,0,鄭天財 Sra‧Kacaw,中國國民黨,14,陳國榮,無黨籍及未經政黨推薦,2,陳政宗,無黨籍及未經政黨推薦,0,陳瑩,民主進步黨,8,高美珠,無黨籍及未經政黨推薦,0,黃仁,中國國民黨,4,伍麗華 Saidhai．Tahovecahe,民主進步黨,86,孔文吉,中國國民黨,254,張子孝,無黨籍及未經政黨推薦,38,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,102,林世偉,無黨籍及未經政黨推薦,36,林果,無黨籍及未經政黨推薦,0,盧縣一,中國國民黨,172,胡黃廣文,無黨籍及未經政黨推薦,54,高畹芯,無黨籍及未經政黨推薦,2,高金素梅,無黨籍及未經政黨推薦,190,2684,66,2750,4720,58.26
卓溪鄉,卓溪村,傅崐萁,中國國民黨,54,周玉梅,無黨籍及未經政黨推薦,0,張美慧,民主進步黨,22,許願神,無黨籍及未經政黨推薦,0,吳建智咖啡哥,無黨籍及未經政黨推薦,0,忠仁．達祿斯,無黨籍及未經政黨推薦,2,米甘幹．理佛克,無黨籍及未經政黨推薦,0,鄭天財 Sra‧Kacaw,中國國民黨,14,陳國榮,無黨籍及未經政黨推薦,0,陳政宗,無黨籍及未經政黨推薦,4,陳瑩,民主進步黨,6,高美珠,無黨籍及未經政黨推薦,2,黃仁,中國國民黨,6,伍麗華 Saidhai．Tahovecahe,民主進步黨,42,孔文吉,中國國民黨,72,張子孝,無黨籍及未經政黨推薦,28,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,62,林世偉,無黨籍及未經政黨推薦,16,林果,無黨籍及未經政黨推薦,2,盧縣一,中國國民黨,326,胡黃廣文,無黨籍及未經政黨推薦,42,高畹芯,無黨籍及未經政黨推薦,0,高金素梅,無黨籍及未經政黨推薦,112,3410,48,3458,5468,63.24
卓溪鄉,古風村,傅崐萁,中國國民黨,44,周玉梅,無黨籍及未經政黨推薦,2,張美慧,民主進步黨,16,許願神,無黨籍及未經政黨推薦,0,吳建智咖啡哥,無黨籍及未經政黨推薦,2,忠仁．達祿斯,無黨籍及未經政黨推薦,0,米甘幹．理佛克,無黨籍及未經政黨推薦,4,鄭天財 Sra‧Kacaw,中國國民黨,34,陳國榮,無黨籍及未經政黨推薦,2,陳政宗,無黨籍及未經政黨推薦,4,陳瑩,民主進步黨,12,高美珠,無黨籍及未經政黨推薦,0,黃仁,中國國民黨,10,伍麗華 Saidhai．Tahovecahe,民主進步黨,124,孔文吉,中國國民黨,166,張子孝,無黨籍及未經政黨推薦,24,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,84,林世偉,無黨籍及未經政黨推薦,26,林果,無黨籍及未經政黨推薦,0,盧縣一,中國國民黨,252,胡黃廣文,無黨籍及未經政黨推薦,72,高畹芯,無黨籍及未經政黨推薦,0,高金素梅,無黨籍及未經政黨推薦,220,1984,36,2020,3346,60.37
卓溪鄉,太平村,傅崐萁,中國國民黨,10,周玉梅,無黨籍及未經政黨推薦,0,張美慧,民主進步黨,10,許願神,無黨籍及未經政黨推薦,0,吳建智咖啡哥,無黨籍及未經政黨推薦,0,忠仁．達祿斯,無黨籍及未經政黨推薦,0,米甘幹．理佛克,無黨籍及未經政黨推薦,0,鄭天財 Sra‧Kacaw,中國國民黨,2,陳國榮,無黨籍及未經政黨推薦,0,陳政宗,無黨籍及未經政黨推薦,2,陳瑩,民主進步黨,8,高美珠,無黨籍及未經政黨推薦,0,黃仁,中國國民黨,6,伍麗華 Saidhai．Tahovecahe,民主進步黨,84,孔文吉,中國國民黨,152,張子孝,無黨籍及未經政黨推薦,20,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,106,林世偉,無黨籍及未經政黨推薦,18,林果,無黨籍及未經政黨推薦,4,盧縣一,中國國民黨,260,胡黃廣文,無黨籍及未經政黨推薦,24,高畹芯,無黨籍及未經政黨推薦,0,高金素梅,無黨籍及未經政黨推薦,146,6602,154,6756,10482,64.45
卓溪鄉,崙山村,傅崐萁,中國國民黨,20,周玉梅,無黨籍及未經政黨推薦,0,張美慧,民主進步黨,2,許願神,無黨籍及未經政黨推薦,0,吳建智咖啡哥,無黨籍及未經政黨推薦,0,忠仁．達祿斯,無黨籍及未經政黨推薦,0,米甘幹．理佛克,無黨籍及未經政黨推薦,0,鄭天財 Sra‧Kacaw,中國國民黨,24,陳國榮,無黨籍及未經政黨推薦,0,陳政宗,無黨籍及未經政黨推薦,0,陳瑩,民主進步黨,2,高美珠,無黨籍及未經政黨推薦,0,黃仁,中國國民黨,6,伍麗華 Saidhai．Tahovecahe,民主進步黨,48,孔文吉,中國國民黨,226,張子孝,無黨籍及未經政黨推薦,28,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,16,林世偉,無黨籍及未經政黨推薦,14,林果,無黨籍及未經政黨推薦,0,盧縣一,中國國民黨,34,胡黃廣文,無黨籍及未經政黨推薦,10,高畹芯,無黨籍及未經政黨推薦,2,高金素梅,無黨籍及未經政黨推薦,144,3886,58,3944,6304,62.56
卓溪鄉,立山村,傅崐萁,中國國民黨,22,周玉梅,無黨籍及未經政黨推薦,0,張美慧,民主進步黨,6,許願神,無黨籍及未經政黨推薦,0,吳建智咖啡哥,無黨籍及未經政黨推薦,0,忠仁．達祿斯,無黨籍及未經政黨推薦,0,米甘幹．理佛克,無黨籍及未經政黨推薦,0,鄭天財 Sra‧Kacaw,中國國民黨,16,陳國榮,無黨籍及未經政黨推薦,0,陳政宗,無黨籍及未經政黨推薦,0,陳瑩,民主進步黨,4,高美珠,無黨籍及未經政黨推薦,2,黃仁,中國國民黨,0,伍麗華 Saidhai．Tahovecahe,民主進步黨,112,孔文吉,中國國民黨,196,張子孝,無黨籍及未經政黨推薦,318,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,50,林世偉,無黨籍及未經政黨推薦,20,林果,無黨籍及未經政黨推薦,2,盧縣一,中國國民黨,76,胡黃廣文,無黨籍及未經政黨推薦,20,高畹芯,無黨籍及未經政黨推薦,0,高金素梅,無黨籍及未經政黨推薦,212,3294,54,3348,5304,63.12
吉安鄉,仁和村,傅崐萁,中國國民黨,2390,周玉梅,無黨籍及未經政黨推薦,34,張美慧,民主進步黨,1690,許願神,無黨籍及未經政黨推薦,266,吳建智咖啡哥,無黨籍及未經政黨推薦,20,忠仁．達祿斯,無黨籍及未經政黨推薦,10,米甘幹．理佛克,無黨籍及未經政黨推薦,10,鄭天財 Sra‧Kacaw,中國國民黨,658,陳國榮,無黨籍及未經政黨推薦,4,陳政宗,無黨籍及未經政黨推薦,32,陳瑩,民主進步黨,214,高美珠,無黨籍及未經政黨推薦,32,黃仁,中國國民黨,98,伍麗華 Saidhai．Tahovecahe,民主進步黨,18,孔文吉,中國國民黨,18,張子孝,無黨籍及未經政黨推薦,10,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,10,林世偉,無黨籍及未經政黨推薦,16,林果,無黨籍及未經政黨推薦,2,盧縣一,中國國民黨,8,胡黃廣文,無黨籍及未經政黨推薦,14,高畹芯,無黨籍及未經政黨推薦,2,高金素梅,無黨籍及未經政黨推薦,110,1608,60,1668,2666,62.57
吉安鄉,仁安村,傅崐萁,中國國民黨,1134,周玉梅,無黨籍及未經政黨推薦,16,張美慧,民主進步黨,974,許願神,無黨籍及未經政黨推薦,128,吳建智咖啡哥,無黨籍及未經政黨推薦,8,忠仁．達祿斯,無黨籍及未經政黨推薦,8,米甘幹．理佛克,無黨籍及未經政黨推薦,0,鄭天財 Sra‧Kacaw,中國國民黨,370,陳國榮,無黨籍及未經政黨推薦,2,陳政宗,無黨籍及未經政黨推薦,26,陳瑩,民主進步黨,124,高美珠,無黨籍及未經政黨推薦,8,黃仁,中國國民黨,30,伍麗華 Saidhai．Tahovecahe,民主進步黨,0,孔文吉,中國國民黨,10,張子孝,無黨籍及未經政黨推薦,2,李我要單列族名我的布農族名字是Savungaz Valincinan,無黨籍及未經政黨推薦,2,林世偉,無黨籍及未經政黨推薦,4,林果,無黨籍及未經政黨推薦,0,盧縣一,中國國民黨,4,胡黃廣文,無黨籍及未經政黨推薦,8,高畹芯,無黨籍及未經政黨推薦,0,高金素梅,無黨籍及未經政黨推薦,20,1000,18,1018,1688,60.31
